Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count,Unemployment Rate
8859,21594,38.9,79835.0,35353,6.075761786,42.696067299999996,26.4123787,22,4.718903399092341
31771,6207,32.9,33524.0,17690,20.62187852,31.266414500000003,-83.6561215,0,6.009344288706299
60565,40864,40.8,113581.0,45408,3.57527408,41.735359100000004,-88.1193763,129,3.807752545027408
45036,38476,36.9,68633.0,27591,7.74768687,39.445842,-84.2067992,23,4.376754340368022
40769,18135,36.9,27221.0,14298,27.19602978,36.7434075,-84.1598641,7,5.18334711883099
54979,1400,42.9,65313.0,26566,1.714285714,43.867169,-88.5081765,3,2.357142857142857
72401,55197,31.6,34819.0,20130,26.8456619,35.8916172,-90.658333,28,5.436889686033661
50002,1338,41.3,40550.0,23974,15.3961136,41.5283965,-94.6243751,2,2.690582959641256
85606,1426,53.4,27406.0,17731,25.245441800000002,32.054524,-109.9020509,0,7.713884992987377
44147,19331,42.1,76021.0,37217,6.533547152000001,41.33031,-81.6802054,63,3.6676840308313072
48386,18081,42.9,74321.0,33301,6.448758365,42.6489461,-83.4750241,29,5.337094187268403
8854,56874,33.2,91164.0,32262,4.9706368460000006,33.8528941,-109.1824567,0,5.1921792031508245
49411,1523,47.1,44450.0,25531,13.59159554,44.0925394,-86.2767995,0,4.9244911359159556
1469,7044,40.4,78985.0,34037,4.997160704,37.3032872,-82.6466401,2,3.8330494037478706
85250,16653,48.6,59358.0,39968,7.788386477,33.5243639,-111.8985922,102,3.2486639044016092
48416,4986,38.6,43397.0,20143,14.64099479,43.2102347,-82.97166170000001,4,7.320497392699559
12156,933,40.5,64107.0,31616,12.96891747,42.479866200000004,-73.7360175,9,1.9292604501607717
7082,5107,45.9,129432.0,59216,3.3091834739999997,47.9623949,-92.8937893,0,4.072841198355198
16665,291,43.3,27188.0,19095,19.24398625,40.3922417,-78.4346936,23,15.120274914089347
30564,3714,40.5,64213.0,23422,9.71997846,34.4762579,-83.8579053,6,3.392568659127625
52362,670,49.1,38359.0,27973,3.582089552,42.054037799999996,-91.0011902,3,1.791044776119403
47591,26995,37.1,40815.0,20681,14.11002037,38.605823,-87.5198011,11,3.356177069827746
47967,924,35.5,53462.0,19191,9.632034632,40.177966299999994,-86.9924358,1,5.8441558441558445
41564,1312,34.3,41806.0,16302,19.89329268,37.614305200000004,-82.3560389,0,4.2682926829268295
65332,1656,40.3,40511.0,18929,14.00966184,38.624736299999995,-93.39937509999999,1,3.743961352657005
71353,1646,43.4,26719.0,19660,36.39125152,30.68885,-91.7441475,1,2.2478736330498177
54733,1305,41.3,50809.0,23292,10.57471264,45.265364899999994,-91.8695542,3,2.835249042145594
73771,450,48.9,45536.0,27035,6.8888888889999995,36.9049895,-97.91570990000001,1,5.777777777777778
98358,1237,51.6,51146.0,28010,6.224737267999999,48.055251,-122.69570729999998,4,7.19482619240097
51433,582,48.3,47500.0,22422,6.013745704,42.2708877,-94.8728093,0,1.0309278350515463
54524,743,44.7,43047.0,24178,18.43876178,45.846243900000005,-90.40548609999999,0,5.248990578734858
11385,99379,35.0,50799.0,23272,18.03298484,40.698070799999996,-73.8948295,199,4.124613852021051
90003,66200,26.2,29686.0,9963,39.02114804,33.9657994,-118.27312690000001,114,6.4395770392749245
45328,692,30.4,43750.0,14939,28.03468208,40.112488899999995,-84.49403149999999,3,9.248554913294798
30268,9736,32.7,47421.0,22939,12.48972884,33.5272883,-84.7106567,1,7.025472473294988
97875,2707,36.0,55478.0,22277,11.89508681,45.8063701,-119.1698118,1,4.396010343553749
45684,1862,40.8,47517.0,18795,13.58754028,38.6432345,-83.1863358,2,5.639097744360902
64625,549,43.7,36250.0,20795,17.12204007,39.7340069,-93.80448309999998,1,3.278688524590164
20143,1081,42.8,139938.0,51051,2.405180389,38.856837299999995,-77.5676735,21,0.0
12831,17644,40.3,71393.0,33481,3.8823396060000004,43.2029076,-73.6771662,1,2.5731126728632963
33614,48125,35.5,35098.0,18039,23.22701299,28.013386199999996,-82.5077593,147,6.518441558441558
15656,10208,43.9,47658.0,25820,12.27468652,40.632765899999995,-79.6277523,15,4.085031347962382
53936,2555,37.3,44583.0,13364,5.596868885,43.8382903,-89.70981850000001,1,2.73972602739726
97633,1416,36.3,40742.0,18448,17.51412429,42.015339700000006,-121.5405251,2,7.415254237288136
2802,919,37.2,48456.0,42134,0.0,37.7402417,-85.9037566,31,1.5233949945593035
77434,4701,34.2,35105.0,16735,23.73962987,29.521958500000004,-96.3438785,1,7.572856838970432
18473,432,41.8,50052.0,27326,19.90740741,41.529045,-75.21435840000001,20,1.8518518518518519
83638,5876,43.3,53850.0,26119,6.262763785,45.0942822,-115.89805159999999,0,1.3784887678692987
87734,190,60.4,42813.0,19060,44.73684211,36.2069433,-105.0791228,0,0.0
24887,125,14.8,,4526,88.8,37.3761297,-81.37933659999999,0,0.0
28732,15406,40.6,45273.0,26177,9.269115929,35.439356599999996,-82.4536115,10,3.1611060625730234
47952,2685,45.5,37232.0,20271,18.212290499999998,39.97092670000001,-87.32149079999999,2,6.368715083798882
38858,7392,39.1,38586.0,18655,23.80952381,34.1222666,-88.53719579999999,0,4.707792207792208
80831,22256,35.0,81000.0,31028,6.411754134,38.9458493,-104.51892140000001,5,4.574047447879224
97366,1301,58.8,53135.0,36010,4.996156802,44.5772172,-124.053674,10,4.765564950038432
53018,8120,43.3,94873.0,42783,3.1773399010000003,43.0373723,-88.3919026,28,3.522167487684729
56358,3353,41.2,49091.0,20779,13.9874739,45.832587700000005,-93.46419200000001,0,8.798091261556815
67661,3352,45.4,40882.0,23569,8.293556086,39.8554659,-99.2785583,0,2.863961813842482
34744,44675,36.2,45589.0,19455,17.42585339,28.2923689,-81.3289397,42,5.578063794068271
49874,1208,46.9,35729.0,19398,15.64569536,45.7436299,-87.4928554,1,6.456953642384106
31547,952,22.0,45238.0,24428,12.18487395,30.783719,-81.55141540000001,12,0.0
23440,483,55.7,40833.0,20990,21.32505176,37.835345000000004,-75.9898631,0,1.4492753623188406
57658,329,33.5,15833.0,7979,55.31914894,45.6837886,-100.538779,0,10.33434650455927
5736,788,48.4,56313.0,36613,0.76142132,29.322153000000004,-98.880571,6,4.949238578680203
25699,119,42.0,11875.0,6104,89.91596639,37.9719124,-82.3343375,0,8.403361344537815
37336,4864,44.4,48066.0,22370,14.76151316,35.3059815,-84.9193082,3,4.0707236842105265
5156,9529,43.6,48872.0,25574,13.62157624,46.4130632,-113.5408598,0,3.326686955609193
54458,150,36.5,56389.0,20718,17.33333333,44.496002600000004,-89.3099437,4,0.6666666666666666
97321,24852,41.1,60271.0,27961,11.657009500000001,44.639304100000004,-123.13230060000001,24,5.822469016578142
6069,2440,57.0,73958.0,54815,6.557377048999999,-31.7645555,116.005922,9,2.1721311475409837
37764,9241,41.1,46102.0,22642,15.56108646,35.9848005,-83.6135572,5,7.823828589979439
80482,1151,46.5,61000.0,39984,1.563857515,39.8486665,-105.80554709999998,0,0.6950477845351868
79345,968,41.1,53281.0,22971,17.355371899999998,33.3181424,-102.5068597,0,1.5495867768595042
