Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
97016,6714,45.6,57153,25154,14.38784629,46.0522259,-123.2831436,0
44143,24044,48.5,60265,34714,6.034769589,41.5544029,-81.4828198,111
98591,3837,49,50488,24795,10.50299713,46.4642769,-122.7398348,0
37191,4226,39.3,63393,28185,7.311878845,36.5197091,-87.5593613,0
73560,609,26.9,28942,17101,29.22824302,34.5193245,-99.4339343,0
87583,115,60.4,4955,5947,63.47826087,35.2256813,-105.3248269,0
5261,2835,45,56667,25144,10.26455026,35.7259928,-93.5498888,0
21750,3999,38.6,47857,21608,11.10277569,39.6931059,-78.2703951,2
72039,2402,40.8,33857,19838,22.98084929,35.3440282,-92.4406387,2
62673,697,35.9,60179,19800,17.36011478,40.0940561,-89.9720133,0
41540,235,40.2,62672,24235,9.787234043,37.3845617,-82.3289111,3
57315,1141,40.3,44813,21359,16.38913234,42.9871112,-98.068343,1
20615,424,43.4,114375,43920,5.188679245,38.4132166,-76.5546031,2
27298,8969,45.4,43097,23966,11.91883153,35.874799,-79.582819,4
5053,331,56.1,70227,39193,10.57401813,33.0536882,-89.4169995,0
79764,20868,34.2,50556,21883,13.72436266,31.8840886,-102.4953899,0
757,23231,34.3,18033,9412,48.99487753,30.5177349,-92.4888303,8
74643,453,39.5,43214,22991,8.167770419,36.6706849,-97.5680595,1
82327,792,39.8,34531,22759,25.25252525,42.1409889,-106.676292,0
44093,1104,37.8,32344,20559,42.21014493,41.5267526,-80.621591,2
90210,21548,46.4,132254,111364,7.420642287,6.5858886,100.9354944,4
91207,10435,45.6,91005,47259,4.532822233,34.1893001,-118.2702036,146
37067,23391,37.6,95155,45675,3.266213501,35.9046545,-86.7718017,76
57369,2344,47.7,46196,23758,8.361774744,43.400581,-98.9687011,0
45897,155,45.3,,8999,50.96774194,40.8402988,-83.66144,3
25165,451,41.1,49886,24418,9.312638581,38.1513972,-81.6528219,1
45005,29997,40.5,52016,24292,9.850985099,39.543358,-84.3016021,47
99661,1243,39.6,71250,27423,18.66452132,55.2693058,-160.6748964,0
1430,6119,42.4,83532,34454,6.896551724,36.448913,-78.578365,0
78122,200,56.6,30610,20433,13,29.4165096,-97.6873706,0
50433,206,45.4,55781,41122,3.883495146,42.920982,-93.0375914,1
59802,19292,33,37931,25060,22.29939871,46.9539821,-113.9120099,0
3077,10218,39.5,61488,27774,6.517909571,30.2251986,-93.3593315,20
22191,61863,30.9,79198,31401,10.41494916,38.6317233,-77.2520101,57
12769,142,50.2,48750,29437,27.46478873,41.6431129,-74.4481662,0
21053,3227,45.5,90361,36118,3.811589712,39.6970138,-76.7221082,7
48851,2493,36.5,53704,22288,8.182912154,42.9652441,-84.9193082,1
6377,2787,38.5,71509,28464,7.786149982,46.9614316,8.5753299,17
88321,117,57.4,27054,31962,10.25641026,34.7032677,-105.4536718,0
